Environment,Genotype,Group,Geno.GY_control,Geno.GY_test,Trial.GY_control,Trial.GY_test,Cov_DSI,SD_blue,SD_weight,PH_blue,PH_weight,NDVI_blue,NDVI_weight,GR_blue,GR_weight,GY_blue,GY_weight,TKW_blue,TKW_weight,TW_blue,TW_weight
2021 THD,Billings,Check,0.5589,0.5264,0.8366,-0.1348,0.0335,0.4031,66.3563,0.0648,78.8093,0.329,251.038,0.687,604.6499,0.5264,115.1555,1.9327,180.3467,1.0674,173.5211
2021 THD,Joe,Check,1.005,0.7257,0.8366,-0.1348,0.2875,1.1777,65.6797,0.3633,78.8637,0.8911,251.6581,-0.1081,606.8271,0.7257,112.1884,-0.2362,155.8531,-1.3111,153.4789
2021 THD,KS061278M.4,Check,0.565,0.6251,0.8366,-0.1348,-0.0619,0.1027,91.0182,0.3584,105.0772,0.2654,357.3416,0.2426,849.4337,0.6251,156.115,-0.3999,238.5133,0.4993,224.8306
2021 THD,Showdown,Check,1.2173,1.4637,0.8366,-0.1348,-0.2536,0.5313,69.0728,0.5651,81.0176,0.5405,256.9758,-0.3244,615.6539,1.4637,123.1653,0.1397,191.9978,0.1291,177.7189
2021 THD,KSTdGD80.1,WIL,-0.784,-2.5867,0.8366,-0.1348,1.8557,-2.8953,6.9207,0.0485,8.1255,-1.0811,25.036,-0.4333,60.0276,-2.5867,12.6603,0.8083,19.7817,-2.3971,18.0666
2021 THD,KSTdGD80.10,WIL,1.1237,0.6996,0.8366,-0.1348,0.4366,1.03,7.4767,0.6779,8.3768,0.6604,29.5677,0.3764,69.6933,0.6996,12.8773,-0.6169,19.8613,-0.1609,18.072
2021 THD,KSTdGD80.100,WIL,-0.0049,-0.6943,0.8366,-0.1348,0.7097,-0.6179,6.9258,0.3593,8.143,0.2234,25.0384,0.2176,60.0509,-0.6943,12.6688,1.0222,19.7769,-0.2604,18.0723
2021 THD,KSTdGD80.101,WIL,-0.1496,0.2556,0.8366,-0.1348,-0.4171,-0.6645,7.6426,-0.5565,8.4133,0.5602,31.6725,0.135,73.1786,0.2556,12.9368,1.0786,19.8715,-0.9918,18.0421
2021 THD,KSTdGD80.102,WIL,1.236,-0.2205,0.8366,-0.1348,1.4993,-0.5361,7.6385,0.3798,8.3897,-0.0622,31.6709,-0.5715,73.1692,-0.2205,12.9253,-0.747,19.8623,-0.0241,18.042
2021 THD,KSTdGD80.103,WIL,0.5473,0.2306,0.8366,-0.1348,0.326,-0.3397,7.5072,1.2339,8.3622,0.6329,30.1208,1.2663,70.4323,0.2306,12.885,1.4141,19.8509,0.9675,18.0296
2021 THD,KSTdGD80.104,WIL,0.0054,-0.6156,0.8366,-0.1348,0.6393,-0.4613,7.6422,-0.9727,8.3959,0.1412,31.6722,0.7932,73.1702,-0.6156,12.9372,-1.5247,19.8751,-0.3154,18.0653
2021 THD,KSTdGD80.106,WIL,1.0213,0.7288,0.8366,-0.1348,0.3011,0.5728,7.5053,0.0071,8.3659,0.608,30.0306,0.3233,70.3275,0.7288,12.8879,-0.6613,19.8562,0.4668,18.0347
2021 THD,KSTdGD80.107,WIL,-0.6093,-1.1385,0.8366,-0.1348,0.5448,-2.3485,6.9211,0.3853,8.1326,0.056,25.0358,0.2122,60.0289,-1.1385,12.6616,2.5669,19.7707,-2.5834,18.0205
2021 THD,KSTdGD80.109,WIL,-0.7854,-1.0855,0.8366,-0.1348,0.3089,-0.8242,7.5087,1.6937,8.364,-0.1773,30.1214,0.2303,70.4405,-1.0855,12.8855,-0.8613,19.8551,-0.9838,18.0455
2021 THD,KSTdGD80.11,WIL,1.0994,0.7507,0.8366,-0.1348,0.359,-0.2601,7.5126,0.3671,8.3761,0.571,30.1945,0.3518,70.56,0.7507,12.8877,0.2223,19.86,0.1358,18.0619
2021 THD,KSTdGD80.110,WIL,-0.043,-0.6577,0.8366,-0.1348,0.6328,0.391,7.6393,0.801,8.3849,0.6917,31.671,0.2526,73.1687,-0.6577,12.9281,-0.4846,19.8675,0.9641,18.0589
2021 THD,KSTdGD80.111,WIL,-0.1561,-1.0224,0.8366,-0.1348,0.8918,-0.1467,7.6408,0.3509,8.3976,-0.0287,31.6724,0.3341,73.1711,-1.0224,12.9343,0.8095,19.8666,-1.5057,18.0436
2021 THD,KSTdGD80.113,WIL,-0.5378,-2.1324,0.8366,-0.1348,1.6415,-1.3085,7.5121,-0.5049,8.3647,0.724,30.1945,-0.8744,70.5564,-2.1324,12.8853,-0.9242,19.8593,-0.5764,18.0686
2021 THD,KSTdGD80.114,WIL,-0.6652,-1.6594,0.8366,-0.1348,1.0234,0.5508,5.5233,-0.3228,7.3936,0.5448,18.9852,0.4146,47.1671,-1.6594,9.9984,-0.9041,16.0996,-0.767,16.6141
2021 THD,KSTdGD80.116,WIL,0.0984,-0.2364,0.8366,-0.1348,0.3446,-2.507,7.5075,0.184,8.3601,-0.1032,30.0888,0.4144,70.4167,-0.2364,12.8817,1.4783,19.8499,-2.7107,18.0305
2021 THD,KSTdGD80.118,WIL,-1.1686,-0.5505,0.8366,-0.1348,-0.6363,-0.9973,6.9085,-0.6648,8.14,-0.294,24.7071,0.3504,59.518,-0.5505,12.663,1.0012,19.781,-0.2189,18.0553
2021 THD,KSTdGD80.119,WIL,1.3087,1.1137,0.8366,-0.1348,0.2007,0.638,6.8123,-0.1039,8.1022,0.5257,22.1809,0.6577,55.4623,1.1137,12.6413,-0.3838,19.7602,0.5086,17.9796
2021 THD,KSTdGD80.12,WIL,-0.1448,0.5417,0.8366,-0.1348,-0.7067,0.581,7.6405,1.1895,8.39,0.8995,31.6712,-0.213,73.1695,0.5417,12.933,0.577,16.766,0.2754,16.6859
2021 THD,KSTdGD80.121,WIL,0.0142,-1.1627,0.8366,-0.1348,1.2115,-0.1337,7.6425,0.8565,8.3965,-0.3513,31.6724,0.4821,73.1674,-1.1627,12.9356,0.2926,19.8671,-1.067,18.0437
2021 THD,KSTdGD80.122,WIL,0.5013,1.0613,0.8366,-0.1348,-0.5765,0.2486,7.5068,0.7536,8.3774,0.5972,30.0301,0.5516,70.3378,1.0613,12.8897,-0.6187,16.8037,0.6369,16.819
2021 THD,KSTdGD80.124,WIL,1.2995,0.8872,0.8366,-0.1348,0.4244,0.3507,7.4947,1.3685,8.383,1.2148,29.5637,-0.1558,69.6704,0.8872,12.8818,-0.6929,19.7608,0.5257,18.034
2021 THD,KSTdGD80.125,WIL,0.6231,0.9511,0.8366,-0.1348,-0.3376,0.1607,6.9058,0.2364,8.1174,0.067,24.612,-0.0846,59.3743,0.9511,12.6647,-0.4441,19.7688,0.2514,18.0591
2021 THD,KSTdGD80.126,WIL,-0.2662,-0.7157,0.8366,-0.1348,0.4627,-0.1218,6.9212,-0.0294,8.1311,1.0467,25.0359,-0.3329,60.029,-0.7157,12.66,0.0864,19.7803,0.3042,18.055
2021 THD,KSTdGD80.127,WIL,0.7976,0.4778,0.8366,-0.1348,0.3292,0.9765,7.6416,0.3953,8.4083,0.7632,31.6724,0.063,73.1762,0.4778,12.9314,-0.4006,19.8687,0.1355,18.0588
2021 THD,KSTdGD80.128,WIL,0.6962,-0.4994,0.8366,-0.1348,1.2307,-0.3557,7.642,0.7062,8.4028,0.1188,31.672,0.1546,73.1702,-0.4994,12.9366,-1.1595,19.8643,0.3143,18.0066
2021 THD,KSTdGD80.129,WIL,1.2002,-0.4527,0.8366,-0.1348,1.7015,-0.8365,7.6414,0.0904,8.3972,-0.714,31.6723,0.1794,73.1733,-0.4527,12.9346,0.7086,19.8484,0.6997,18.0292
2021 THD,KSTdGD80.13,WIL,0.2937,0.892,0.8366,-0.1348,-0.6159,-0.0668,7.6427,0.6422,8.3854,0.2633,31.6728,-0.3373,73.1628,0.892,12.9369,-0.7172,19.865,0.8694,18.0442
2021 THD,KSTdGD80.130,WIL,1.289,1.0078,0.8366,-0.1348,0.2895,0.2716,6.1276,-0.0487,7.6643,0.1736,22.7029,0.8076,55.3323,1.0078,10.6192,-0.0604,16.7983,0.8595,16.8193
2021 THD,KSTdGD80.131,WIL,-0.2584,0.3303,0.8366,-0.1348,-0.606,0.4172,7.5118,-0.6101,8.3722,0.3487,30.1942,-0.5354,70.5494,0.3303,12.886,-1.442,19.8553,-0.3662,18.0461
2021 THD,KSTdGD80.132,WIL,-0.2212,-0.1529,0.8366,-0.1348,-0.0703,-1.5588,7.5124,-0.4164,8.3749,-0.3536,30.1936,-0.6682,70.5598,-0.1529,12.8867,0.4069,19.8403,-0.8847,18.0487
2021 THD,KSTdGD80.133,WIL,0.5444,0.0675,0.8366,-0.1348,0.4909,-0.3039,7.4979,0.874,8.3717,0.5697,29.8023,0.2475,69.9633,0.0675,12.8878,0.9335,19.8513,-0.337,18.0259
2021 THD,KSTdGD80.134,WIL,1.3048,1.349,0.8366,-0.1348,-0.0455,0.2237,6.9033,0.8461,8.1312,-0.0654,24.6113,0.26,59.3957,1.349,12.6596,-0.8715,19.7726,1.1877,18.0263
2021 THD,KSTdGD80.135,WIL,0.9875,0.8414,0.8366,-0.1348,0.1504,0.7166,7.3482,-0.1386,8.3359,-0.0373,28.6428,0.7935,67.7921,0.8414,12.84,-1.023,19.8482,0.579,18.0681
2021 THD,KSTdGD80.137,WIL,0.6978,-0.4882,0.8366,-0.1348,1.2209,-0.0618,7.6398,-0.0233,8.3866,0.594,31.6714,0.1298,73.1646,-0.4882,12.9334,-0.6018,19.8551,-0.0055,18.0014
2021 THD,KSTdGD80.138,WIL,1.1887,0.3135,0.8366,-0.1348,0.9009,0.0326,5.7676,-0.1164,7.4621,0.2966,19.9278,0.104,49.1262,0.3135,10.4748,0.8515,16.7406,-0.1272,16.8147
2021 THD,KSTdGD80.141,WIL,-0.8097,-3.0991,0.8366,-0.1348,2.3567,-1.7355,6.8143,-1.1407,8.0932,-0.917,22.1817,0.9499,55.4602,-3.0991,12.6452,-0.5365,19.7658,-2.4753,17.9963
2021 THD,KSTdGD80.142,WIL,0.1536,-0.9651,0.8366,-0.1348,1.1516,0.331,7.6423,0.3859,8.4134,0.0771,31.6726,0.3191,73.1772,-0.9651,12.9361,-0.5149,19.8741,-2.0184,18.0645
2021 THD,KSTdGD80.143,WIL,-0.9001,-2.1764,0.8366,-0.1348,1.3138,-0.3094,7.6401,1.1552,8.3923,0.4643,31.6717,0.5126,73.1701,-2.1764,12.9296,1.6004,19.8625,-1.5379,18.0292
2021 THD,KSTdGD80.144,WIL,0.0871,-0.3892,0.8366,-0.1348,0.4903,-0.5387,6.7869,0.4142,8.0901,0.2651,23.4815,0.0778,57.2751,-0.3892,12.616,0.8063,16.1,-1.0237,16.5861
2021 THD,KSTdGD80.147,WIL,-0.3445,0.3784,0.8366,-0.1348,-0.7442,-0.1142,7.5125,0.3394,8.3748,-0.0545,30.1946,-0.2032,70.5599,0.3784,12.886,0.3782,19.8602,-0.3539,18.0729
2021 THD,KSTdGD80.148,WIL,0.3322,0.8565,0.8366,-0.1348,-0.5397,-0.1887,5.4489,-0.735,7.3874,-0.1274,18.3745,-0.3837,46.2726,0.8565,9.8637,-0.5783,15.8612,0.6616,16.5919
2021 THD,KSTdGD80.149,WIL,-1.4528,-1.1418,0.8366,-0.1348,-0.3201,-0.0973,7.5082,-1.2499,8.3698,-0.5916,30.1213,-0.2919,70.4378,-1.1418,12.8862,0.2484,19.8586,-0.1319,18.0586
2021 THD,KSTdGD80.15,WIL,1.199,-0.9511,0.8366,-0.1348,2.2133,1.1585,6.9247,-0.146,8.1294,0.9981,25.0374,-0.0503,60.0334,-0.9511,12.6681,-0.0543,19.7852,-0.0253,18.0551
2021 THD,KSTdGD80.150,WIL,0.2135,-0.4367,0.8366,-0.1348,0.6693,0.5892,7.5085,0.625,8.3623,1.0299,30.1159,0.2617,70.4578,-0.4367,12.8835,-0.5887,19.8528,-0.5785,18.0401
2021 THD,KSTdGD80.151,WIL,-0.2947,0.3357,0.8366,-0.1348,-0.6489,0.2445,7.5122,1.0499,8.374,-0.2429,30.1941,0.2332,70.5543,0.3357,12.8831,1.3737,19.8535,0.5356,18.0443
2021 THD,KSTdGD80.153,WIL,-0.6098,-0.4036,0.8366,-0.1348,-0.2123,-0.5935,7.4925,-0.5378,8.3559,0.9501,29.5637,-0.2397,69.6521,-0.4036,12.8781,0.6626,19.8462,-1.7736,18.0184
2021 THD,KSTdGD80.154,WIL,-0.0666,-0.6698,0.8366,-0.1348,0.6209,0.9148,7.6436,2.8388,8.4152,0.1197,31.6727,-0.171,73.1812,-0.6698,12.938,0.533,19.8778,0.7522,18.0748
2021 THD,KSTdGD80.155,WIL,-0.5205,-0.4391,0.8366,-0.1348,-0.0838,-0.2786,7.6406,0.5547,8.3807,0.0594,31.6719,-0.8684,73.1598,-0.4391,12.9332,-0.0658,19.8691,-0.0868,18.0489
2021 THD,KSTdGD80.156,WIL,1.1893,1.383,0.8366,-0.1348,-0.1994,0.7622,6.8167,0.8852,8.1279,0.0891,22.1833,-0.131,55.492,1.383,12.6451,-1.4218,19.7711,1.4913,18.0304
2021 THD,KSTdGD80.157,WIL,1.3945,1.0922,0.8366,-0.1348,0.3112,-0.3733,7.6416,-0.1563,8.4018,0.1264,31.6724,-0.2382,73.169,1.0922,12.9346,-1.4349,19.8721,0.0227,18.0621
2021 THD,KSTdGD80.158,WIL,-0.9091,-0.3962,0.8366,-0.1348,-0.528,-0.6278,7.6414,2.9123,8.4092,0.0027,31.6714,-0.895,73.1765,-0.3962,12.9337,-0.1698,16.7665,0.136,16.6857
2021 THD,KSTdGD80.159,WIL,1.5753,0.7902,0.8366,-0.1348,0.8082,-0.3353,7.6401,-0.1548,8.3942,0.0136,31.6718,0.1859,73.1701,0.7902,12.9312,0.0118,19.8633,0.6838,18.0312
2021 THD,KSTdGD80.16,WIL,-0.4608,-0.9186,0.8366,-0.1348,0.4713,-0.3748,7.6439,2.3341,8.4138,-0.2773,31.6725,0.1001,73.1834,-0.9186,12.9377,1.4192,19.8679,1.6589,18.0393
2021 THD,KSTdGD80.160,WIL,-0.0824,0.3002,0.8366,-0.1348,-0.3938,-0.0887,6.6814,-0.3472,8.0852,0.5383,20.6338,0.1506,52.6776,0.3002,12.6007,0.1536,19.7539,-0.9209,18.0003
2021 THD,KSTdGD80.161,WIL,-0.1802,-0.5487,0.8366,-0.1348,0.3793,-0.5907,6.9273,-0.4696,8.1425,-0.4006,25.0389,-0.4998,60.058,-0.5487,12.6691,0.9492,19.7867,-0.5385,18.0627
2021 THD,KSTdGD80.163,WIL,0.1676,0.3879,0.8366,-0.1348,-0.2268,-0.6771,7.6412,-1.9146,8.3978,0.369,31.6723,-0.0641,73.1722,0.3879,12.9346,-0.676,19.8502,-0.1773,18.0329
2021 THD,KSTdGD80.164,WIL,0.0175,0.3662,0.8366,-0.1348,-0.359,-0.2362,6.921,1.4978,8.3688,0.4721,30.1159,0.405,70.4574,0.3662,12.8869,-0.1616,19.8482,0.0823,18.0234
2021 THD,KSTdGD80.166,WIL,1.0095,0.707,0.8366,-0.1348,0.3114,-0.5585,7.6403,-0.0139,8.3922,0.5259,31.6723,0.0274,73.1701,0.707,12.929,0.0878,19.8662,0.3348,18.0524
2021 THD,KSTdGD80.169,WIL,-0.6308,-0.5437,0.8366,-0.1348,-0.0897,-2.2044,7.6411,-1.4993,8.3888,-0.9096,31.6726,-0.2971,73.1668,-0.5437,12.9349,0.6729,19.8594,1.0829,18.0287
2021 THD,KSTdGD80.170,WIL,-0.6807,-1.6531,0.8366,-0.1348,1.001,-2.0191,7.6404,1.0861,8.3891,-0.4049,31.672,0.2971,73.1639,-1.6531,12.9283,2.9669,19.8646,-1.0117,18.043
2021 THD,KSTdGD80.173,WIL,-1.0394,-0.7162,0.8366,-0.1348,-0.3327,-0.6791,7.4836,-0.8658,8.4044,0.2997,31.6726,0.3623,73.1694,-0.7162,12.9364,0.115,19.8759,-0.1272,18.0738
2021 THD,KSTdGD80.175,WIL,1.9607,1.1758,0.8366,-0.1348,0.808,0.0299,5.7696,-1.1431,7.462,-0.3414,20.161,-0.2541,49.4359,1.1758,10.4813,-0.3095,16.7432,1.337,16.8005
2021 THD,KSTdGD80.176,WIL,1.4242,1.1544,0.8366,-0.1348,0.2777,0.6499,5.7882,-0.1454,7.4674,0.6096,20.4169,0.6675,49.8379,1.1544,10.487,-0.8537,16.7333,-0.8983,16.8163
2021 THD,KSTdGD80.177,WIL,-0.0417,0.0171,0.8366,-0.1348,-0.0605,-3.2101,6.2811,-1.0084,7.6807,-0.7686,24.6231,-0.3437,58.5784,0.0171,10.6614,0.4086,16.8061,-2.3152,16.8287
2021 THD,KSTdGD80.18,WIL,1.281,0.267,0.8366,-0.1348,1.0438,-0.2673,7.6426,-0.2018,8.4028,0.2646,31.6725,0.1962,73.1711,0.267,12.9357,-0.3253,19.8648,0.8475,18.0292
2021 THD,KSTdGD80.180,WIL,0.4154,0.3618,0.8366,-0.1348,0.0552,-0.6296,7.4991,-0.1375,8.3729,0.4216,29.8033,0.6348,69.9645,0.3618,12.8888,-0.2346,19.7695,-0.5876,18.05
2021 THD,KSTdGD80.181,WIL,1.7658,1.1703,0.8366,-0.1348,0.613,0.6605,6.2591,0.7265,7.6936,-0.2544,24.272,-0.3739,58.0468,1.1703,10.6642,0.2967,16.8149,1.0672,16.8399
2021 THD,KSTdGD80.182,WIL,1.1453,0.413,0.8366,-0.1348,0.7538,0.1224,6.8377,-0.8802,8.1173,0.1824,23.2732,0.1062,57.0429,0.413,12.6563,-1.3137,19.7707,0.4449,18.0139
2021 THD,KSTdGD80.183,WIL,-0.2372,0.2479,0.8366,-0.1348,-0.4994,0.3268,6.2821,0.1714,7.6807,0.485,24.6233,0.8473,58.5788,0.2479,10.6673,1.8351,16.8118,-0.3917,16.8338
2021 THD,KSTdGD80.184,WIL,-1.4792,-2.8962,0.8366,-0.1348,1.4587,-0.1512,6.2522,-1.3074,7.6881,-0.4475,24.2712,0.4428,58.0413,-2.8962,10.6576,0.2327,16.7851,-1.0049,16.7737
2021 THD,KSTdGD80.185,WIL,0.2738,-0.5876,0.8366,-0.1348,0.8867,-1.7853,11.9154,0.4192,15.2451,0.6744,42.6934,0.0066,107.3806,-0.5876,20.3194,-0.4899,32.6067,-1.6039,33.3493
2021 THD,KSTdGD80.186,WIL,-0.1623,-0.431,0.8366,-0.1348,0.2766,-0.3876,15.1438,1.3358,16.7951,0.1035,61.4776,0.4235,143.1592,-0.431,25.826,1.6935,39.7339,-1.5792,36.1702
2021 THD,KSTdGD80.187,WIL,1.0616,0.9821,0.8366,-0.1348,0.0818,0.4624,12.4414,-0.6843,15.3623,-0.2385,47.764,0.2125,114.5551,0.9821,21.3036,-0.6545,33.6091,0.4509,33.6622
2021 THD,KSTdGD80.188,WIL,-0.3893,0.2063,0.8366,-0.1348,-0.6131,-0.7327,10.1948,-0.2062,14.468,-0.529,33.7147,0.4812,90.6426,0.2063,17.576,1.7421,28.3372,1.6074,31.574
2021 THD,KSTdGD80.189,WIL,-0.8434,-0.7301,0.8366,-0.1348,-0.1166,-0.6632,12.065,0.8329,15.2784,0.6031,45.1911,0.1708,111.5339,-0.7301,20.5339,1.0894,12.5164,0.2337,15.0705
2021 THD,KSTdGD80.19,WIL,1.1132,0.9198,0.8366,-0.1348,0.1991,-0.0611,7.6415,0.49,8.4009,0.5115,31.6721,-0.2609,73.1691,0.9198,12.935,-1.3604,19.7811,0.7742,18.0472
2021 THD,KSTdGD80.190,WIL,0.5003,0.7238,0.8366,-0.1348,-0.2301,-0.328,12.7241,0.0373,15.723,0.1548,45.7197,0.0406,112.9662,0.7238,22.6025,-0.7171,35.5666,0.4218,34.5099
2021 THD,KSTdGD80.191,WIL,0.4684,-1.1226,0.8366,-0.1348,1.6378,-0.1129,12.4357,-0.368,15.3807,0.4631,47.7616,-0.1764,114.5631,-1.1226,21.2894,-0.0333,33.5786,0.4817,33.5625
2021 THD,KSTdGD80.192,WIL,0.0142,0.2131,0.8366,-0.1348,-0.2047,-0.9824,12.7231,-0.1086,15.7296,0.1746,45.409,-0.1009,112.4983,0.2131,22.5947,0.3697,35.488,0.5257,34.5051
2021 THD,KSTdGD80.193,WIL,-0.671,-2.3017,0.8366,-0.1348,1.6786,-0.938,12.0989,1.2926,15.2879,-0.2946,45.3218,0.1588,111.5596,-2.3017,20.577,-0.8681,32.6176,-5.4044,33.3491
2021 THD,KSTdGD80.194,WIL,-0.0791,0.1055,0.8366,-0.1348,-0.19,-0.376,15.2887,-0.2038,16.8151,0.532,63.3464,0.4952,146.3728,0.1055,25.8746,-0.4821,39.7611,0.2001,36.1805
2021 THD,KSTdGD80.195,WIL,0.8712,-0.3886,0.8366,-0.1348,1.2968,-0.1049,13.4243,2.5333,15.8701,0.4873,52.0208,-0.4183,122.9161,-0.3886,23.4149,0.0479,36.6134,-1.9324,34.8541
2021 THD,KSTdGD80.197,WIL,-0.668,-0.1488,0.8366,-0.1348,-0.5345,-0.0495,14.4195,-1.2227,16.4991,0.5003,54.6022,0.6251,129.6897,-0.1488,25.55,-0.6297,39.6499,-1.7881,36.1469
2021 THD,KSTdGD80.198,WIL,0.4242,0.4807,0.8366,-0.1348,-0.0582,0.0128,15.1562,-0.3397,16.7945,0.0944,61.7854,-0.1281,143.6573,0.4807,25.8279,0.0094,39.7446,-0.2724,36.1534
2021 THD,KSTdGD80.199,WIL,1.7907,0.6509,0.8366,-0.1348,1.1733,-0.0374,13.8263,-0.7159,16.2668,0.0057,49.68,-0.1924,119.4719,0.6509,25.3207,-0.591,39.5676,0.1472,36.1414
2021 THD,KSTdGD80.2,WIL,-0.28,-1.6438,0.8366,-0.1348,1.4039,-0.053,6.783,-0.5354,8.0912,-0.4416,23.4408,-0.0113,57.2475,-1.6438,12.6097,0.7594,19.7354,-1.0732,17.9333
2021 THD,KSTdGD80.201,WIL,-0.5495,-2.5003,0.8366,-0.1348,2.0081,1.1041,15.2839,2.0804,16.8106,0.1175,63.3463,0.3005,146.3633,-2.5003,25.8694,-2.1542,19.8714,-0.4554,18.0616
2021 THD,KSTdGD80.202,WIL,0.0595,0.3655,0.8366,-0.1348,-0.315,0.7667,15.2822,-0.7286,16.7937,0.1321,63.3446,-0.054,146.3369,0.3655,25.8638,-0.4386,39.7456,0.7602,36.1278
2021 THD,KSTdGD80.203,WIL,-0.8808,0.3571,0.8366,-0.1348,-1.2743,-0.7557,13.4544,-0.9691,15.9936,0.2018,52.3712,0.0484,126.1366,0.3571,22.857,-0.4017,35.5752,-0.7542,34.5558
2021 THD,KSTdGD80.204,WIL,0.3357,0.2222,0.8366,-0.1348,0.1168,-0.2029,13.0747,1.0002,15.8023,0.0195,46.4538,0.4682,113.5168,0.2222,23.3116,1.079,36.5972,0.2515,34.879
2021 THD,KSTdGD80.206,WIL,1.1784,-0.0164,0.8366,-0.1348,1.2299,-1.2866,13.9287,-0.5906,16.2321,0.4155,55.9439,-0.2307,131.4731,-0.0164,23.5923,-0.5718,36.6354,0.6722,34.7902
2021 THD,KSTdGD80.207,WIL,-1.2732,-1.3759,0.8366,-0.1348,0.1057,-0.393,15.2864,0.4411,16.8003,-0.6694,63.3463,0.4375,146.3557,-1.3759,25.871,-0.5429,39.7487,-0.3056,36.1397
2021 THD,KSTdGD80.208,WIL,0.617,-0.0362,0.8366,-0.1348,0.6724,-0.9548,13.4535,-0.163,15.9748,0.1333,52.3704,-0.2539,126.1411,-0.0362,22.8337,-0.7691,35.6623,0.0087,34.5354
2021 THD,KSTdGD80.209,WIL,0.5887,0.7087,0.8366,-0.1348,-0.1235,-0.2855,13.9307,-0.0862,16.1047,0.6951,56.2992,0.2016,131.7866,0.7087,23.6127,-1.5391,36.6994,0.0026,34.9421
2021 THD,KSTdGD80.21,WIL,0.5512,0.1507,0.8366,-0.1348,0.4123,-0.4384,7.6418,-0.7957,8.3919,0.687,31.6721,0.2443,73.1709,0.1507,12.9368,0.3888,19.8689,0.2539,18.0352
2021 THD,KSTdGD80.210,WIL,-1.259,0.5451,0.8366,-0.1348,-1.8571,-0.1373,13.325,0.5598,15.9926,0.23,50.8924,0.2481,123.53,0.5451,22.7791,0.2777,35.6391,0.921,34.5815
2021 THD,KSTdGD80.211,WIL,0.7051,0.3991,0.8366,-0.1348,0.315,-0.0256,15.2839,-0.4853,16.798,-0.169,63.3446,-0.1501,146.3592,0.3991,25.8638,-1.065,39.7348,0.2314,36.1348
2021 THD,KSTdGD80.212,WIL,0.0969,-0.1727,0.8366,-0.1348,0.2775,-0.682,12.9357,1.567,15.7835,0.1997,44.7632,-0.0103,110.6636,-0.1727,23.2615,0.3793,36.5684,-1.114,34.8358
2021 THD,KSTdGD80.213,WIL,-1.0079,-1.0675,0.8366,-0.1348,0.0614,-0.6034,15.1495,0.2973,16.7902,-0.1686,61.7698,1.337,143.5969,-1.0675,25.8171,1.0799,39.7363,-1.3838,36.1517
2021 THD,KSTdGD80.214,WIL,-0.089,-1.2503,0.8366,-0.1348,1.1954,0.7443,13.8305,-1.3679,16.2628,-0.256,49.7315,-0.9287,119.4425,-1.2503,25.3352,-0.6531,39.5785,-0.0464,36.1356
2021 THD,KSTdGD80.215,WIL,-0.4891,0.7773,0.8366,-0.1348,-1.3036,0.4565,14.298,1.8167,16.5063,0.7157,53.858,0.2726,128.6717,0.7773,25.5706,-0.2777,39.6267,-0.1372,36.0736
2021 THD,KSTdGD80.216,WIL,0.6137,-1.2431,0.8366,-0.1348,1.9114,-0.0301,15.2836,0.2064,16.8001,0.2922,63.345,0.1969,146.3445,-1.2431,25.8688,-0.3349,39.7507,-0.2054,36.1323
2021 THD,KSTdGD80.217,WIL,0.6781,0.9017,0.8366,-0.1348,-0.2302,-0.3817,13.093,0.2602,15.8043,0.4822,47.026,0.2809,114.2221,0.9017,22.5277,-0.8968,36.5811,1.027,34.8612
2021 THD,KSTdGD80.218,WIL,0.5862,1.1564,0.8366,-0.1348,-0.587,-0.0891,15.2848,-0.6945,16.7949,-0.0875,63.3438,0.1273,146.3377,1.1564,25.8747,-0.6089,39.7511,0.3975,36.1211
2021 THD,KSTdGD80.219,WIL,-0.3149,-1.9699,0.8366,-0.1348,1.7037,-0.9898,11.6947,-1.0699,15.1996,-0.0812,42.3432,-0.1697,106.6426,-1.9699,19.9393,0.8552,15.7785,0.2826,16.4725
2021 THD,KSTdGD80.22,WIL,0.9063,0.8256,0.8366,-0.1348,0.0831,0.4336,6.2824,0.6896,7.6871,0.197,24.623,-0.2985,58.5791,0.8256,10.6726,-0.8761,16.8081,1.1776,16.7993
2021 THD,KSTdGD80.220,WIL,0.5531,-0.1184,0.8366,-0.1348,0.6912,-0.7539,12.5239,-0.7545,15.684,0.3202,42.4514,-0.3396,107.4158,-0.1184,22.5254,0.2575,35.4148,-0.1935,34.4125
2021 THD,KSTdGD80.221,WIL,0.6639,-0.3825,0.8366,-0.1348,1.0772,0.3965,14.4342,3.464,16.5228,0.2848,55.158,0.2602,130.4763,-0.3825,25.5567,-0.7381,39.5575,0.5275,36.1238
2021 THD,KSTdGD80.222,WIL,-0.6379,-0.1747,0.8366,-0.1348,-0.4768,0.762,13.4253,0.4424,15.8611,0.4885,51.8644,0.874,122.6515,-0.1747,23.4249,-0.5749,36.6435,-0.8528,34.9568
2021 THD,KSTdGD80.224,WIL,-0.0691,0.2262,0.8366,-0.1348,-0.304,-0.7023,13.286,-0.4386,15.8427,0.4838,50.2199,0.5679,119.7984,0.2262,23.379,0.8927,36.6006,0.8485,34.8411
2021 THD,KSTdGD80.225,WIL,0.8778,-0.8013,0.8366,-0.1348,1.7285,-1.2149,13.458,-0.5874,16.0185,-0.1392,52.3732,0.1727,126.1634,-0.8013,22.8523,-0.4575,35.6935,-0.8214,34.6085
