Environment,Genotype,Group,Geno.GY_control,Geno.GY_test,Trial.GY_control,Trial.GY_test,Cov_DSI,SD_blue,SD_weight,PH_blue,PH_weight,NDVI_blue,NDVI_weight,GR_blue,GR_weight,GY_blue,GY_weight,TKW_blue,TKW_weight,TW_blue,TW_weight
2022 RL,KSTdGD80.48,WIL,NA,NA,NA,NA,NA,0.0221,4.7194,1.029,3.5192,0.2325,22.0757,-0.1642,26.7523,1.333,5.0308,0.1957,8.6013,0.5753,9.1384
2022 RL,KSTdGD80.49,WIL,NA,NA,NA,NA,NA,0.7237,4.4037,1.4482,3.4601,0.838,19.1184,-0.4201,26.4811,1.0291,4.5201,0.3665,8.8062,0.9673,9.3203
2022 RL,KSTdGD80.5,WIL,NA,NA,NA,NA,NA,-0.3499,4.7442,-0.6904,3.5226,0.5267,22.0823,0.2714,26.7565,1.8032,5.0769,0.4718,8.9198,1.0971,9.1673
2022 RL,KSTdGD80.54,WIL,NA,NA,NA,NA,NA,0.3549,4.7334,0.8428,3.6438,-0.0637,24.8799,-0.1009,31.4058,0.2072,5.171,0.9685,9.0382,0.0071,9.2643
2022 RL,KSTdGD80.55,WIL,NA,NA,NA,NA,NA,0.4858,4.7493,-1.3143,3.6439,0.2066,24.878,0.2596,31.406,1.1477,5.1755,0.5863,9.0873,1.6668,9.307
2022 RL,KSTdGD80.56,WIL,NA,NA,NA,NA,NA,0.1663,4.7047,-1.1312,3.6446,0.5791,24.8755,0.9116,31.405,0.7573,5.0963,-0.8075,9.0477,-0.4749,9.2448
2022 RL,KSTdGD80.58,WIL,NA,NA,NA,NA,NA,0.2367,4.749,0.9647,3.6511,0.6447,24.8804,0.3811,31.42,0.4307,5.1704,-1.3909,9.1217,1.2939,9.3363
2022 RL,KSTdGD80.59,WIL,NA,NA,NA,NA,NA,-0.0604,4.7389,0.1615,3.6473,0.6065,24.8792,-0.0281,31.4138,0.8033,5.1661,-0.8971,9.0952,-0.4425,9.3296
2022 RL,KSTdGD80.6,WIL,NA,NA,NA,NA,NA,0.1514,4.7386,0.619,3.6472,0.6019,24.8799,-0.3166,31.4148,0.6343,5.1696,-0.2569,9.0867,0.8775,9.3182
2022 RL,KSTdGD80.67,WIL,NA,NA,NA,NA,NA,1.1866,4.7358,-0.1473,3.6458,0.6654,24.8778,0.6244,31.4112,1.0449,5.1662,-0.4073,9.0783,0.4572,9.3032
2022 RL,KSTdGD80.68,WIL,NA,NA,NA,NA,NA,0.4754,4.7461,1.6141,3.6408,0.6169,24.2247,-0.2049,30.6712,1.4426,5.1767,-1.2436,9.0784,1.1381,9.3168
