Taxa	SD_unadj	SD_adj	SD_rn	PH_unadj	PH_adj	PH_rn	NDVI_unadj	NDVI_adj	NDVI_rn	GR_unadj	GR_adj	GR_rn	GY_unadj	GY_adj	GY_rn	TKW_unadj	TKW_adj	TKW_rn	TW_unadj	TW_adj	TW_rn
KSTdGD80.261	0.451340711	0.147803628	0.291284338	-0.386306754	-0.673082563	-0.470980534	0.024722238	-0.028383409	0.152354626	-0.161850735	0.024829013	-0.304224943	0.840112465	0.557729437	0.068354534	-0.06514989	-0.661337722	-1.052612382	0.700583754	-0.456985131	0.627960296
KSTdGD80.262	-0.017782807	-0.336555572	-0.061001365	0.351261416	0.065144427	0.018152666	0.167673462	0.144884155	0.283898105	0.309748279	0.494775216	-0.067004853	-0.621965982	-0.752267923	-0.923504572	1.379182153	0.776881662	0.270948608	0.338015782	-0.670333677	0.556200485
KSTdGD80.263	-0.120403346	-0.434249168	-0.239463652	0.446124042	0.150129745	0.373857756	0.026516039	0.00271393	0.153548461	0.077599438	0.251524743	-0.221090417	-0.422242685	-0.937087397	-1.056008834	2.164827686	1.580593433	1.144373859	0.669472654	-0.503140845	0.252478287
KSTdGD80.264	-1.110463001	-1.449677726	-1.308382767	-0.041297644	-0.370910431	-0.104328454	0.210628875	0.147724412	0.313714684	0.325400339	0.531474414	-0.057679127	-0.555177115	-0.950742405	-1.161243556	2.123911899	1.519429319	1.027045771	-1.285121408	-2.447053025	-1.463072621
KSTdGD80.265	0.444552414	0.137728596	0.184438288	-0.033662822	-0.315366681	-0.021113383	0.005127815	-0.024832241	0.164669103	-0.031138995	0.128689022	-0.262521934	0.68860437	0.575793024	0.218357029	0.87565492	0.294901329	-0.119451363	1.412749938	0.355854086	1.103032381
KSTdGD80.266	0.776063194	0.466877753	0.495899134	-0.206048012	-0.478405092	-0.181334772	0.327689195	0.29639957	0.37488067	-0.352264002	-0.168072244	-0.8101015	-0.342520584	-0.405988834	-1.01348186	1.243710816	0.632253144	0.03096476	1.355748143	0.246213905	1.06141244
KSTdGD80.268	0.76194609	0.446747292	0.563253268	0.707100445	0.418817867	0.597091133	0.335981572	0.303932531	0.511961088	-0.474917425	-0.287586264	-0.763495651	0.378755845	0.003545187	-0.118763148	-0.320669804	-0.934121558	-1.354513296	2.038869154	0.861208205	1.719917534
KSTdGD80.270	-0.285862749	-0.536588033	-0.479693207	-0.814612419	-1.065689428	-0.80956876	0.144073077	0.110516431	0.248442848	-0.742755529	-0.563285309	-1.037026369	-0.333658607	-1.476846389	-1.650546473	1.29554892	0.693495574	0.256822224	-0.178921658	-1.615792443	-0.562059971
KSTdGD80.272	-0.057531505	-0.362251759	-0.215822886	-0.082538287	-0.334678661	0.024402987	0.071358905	0.052846458	0.250508161	0.250215707	0.437812567	-0.174723105	-0.403702003	-0.397075477	-0.512418694	1.229950323	0.616776994	0.221086992	1.407691379	0.324189228	1.125437957
KSTdGD80.273	0.264374105	-0.014037179	0.176150308	0.598129419	0.362378352	0.553901588	-0.184319065	-0.216898175	-0.02311364	-0.424113225	-0.274814469	-0.716266581	-1.304497688	-1.788068905	-1.953116592	0.92557959	0.444950721	0.059999598	1.399544833	0.418075573	1.183070712
KSTdGD80.274	0.728849378	0.420534203	0.599976829	0.30864175	0.010762088	0.242431665	0.225599686	0.186473081	0.386880974	-0.139087333	0.061232703	-0.663117827	-0.380177222	-0.422693559	-0.5769774	0.610328643	-0.006592938	-0.342452354	0.744540499	-0.323572788	0.349455239
KSTdGD80.275	-0.212912641	-0.515372896	-0.410052287	0.009177991	-0.280488002	-0.076560707	0.138331696	0.113726142	0.281125003	-0.055744613	0.119742367	-0.344817916	0.166392347	-0.523582314	-0.742230826	1.142750773	0.547922502	-0.008111544	0.790281695	-0.465552534	0.59309992
KSTdGD80.276	0.149989013	-0.106318712	0.066185759	-0.822136323	-1.057139223	-0.87532211	0.020118022	-0.025683295	0.137282502	-0.241196782	-0.109737223	-0.529564786	0.804852805	0.327361085	0.064978314	-0.219107173	-0.762748186	-1.148004533	0.983385213	-0.194986149	0.68690715
KSTdGD80.277	0.057740167	-0.233896	-0.090056731	-1.058947334	-1.318619659	-1.107133279	-0.002304524	-0.02169341	0.161106406	-0.346787525	-0.146652448	-0.680179991	0.188839296	-0.572358565	-0.674621832	0.452461123	-0.141600358	-0.685166262	1.743185551	0.43890239	1.427586889
